date,observation
1/1/2008 0:00,143.5
1/1/2008 1:00,143.5
1/1/2008 2:00,141.5
1/1/2008 3:00,140.5
1/1/2008 4:00,140
1/1/2008 5:00,137.5
1/1/2008 6:00,137.5
1/1/2008 7:00,136
1/1/2008 8:00,135
1/1/2008 9:00,134
1/1/2008 10:00,132.75
1/1/2008 11:00,130.25
1/1/2008 12:00,129
1/1/2008 13:00,127.5
1/1/2008 14:00,127
1/1/2008 15:00,125
1/1/2008 16:00,125
1/1/2008 17:00,125
1/1/2008 18:00,123.5
1/1/2008 19:00,123
1/1/2008 20:00,122
1/1/2008 21:00,121
1/1/2008 22:00,121
1/1/2008 23:00,120
1/2/2008 0:00,119
1/2/2008 1:00,118
1/2/2008 2:00,118
1/2/2008 3:00,115
1/2/2008 4:00,114.5
1/2/2008 5:00,114
1/2/2008 6:00,113.5
1/2/2008 7:00,112.5
1/2/2008 8:00,112
1/2/2008 9:00,111.5
1/2/2008 10:00,110.5
1/2/2008 11:00,110
1/2/2008 12:00,110
1/2/2008 13:00,109.5
1/2/2008 14:00,108.5
1/2/2008 15:00,107.5
1/2/2008 16:00,108.5
1/2/2008 17:00,107
1/2/2008 18:00,107
1/2/2008 19:00,106
1/2/2008 20:00,106.5
1/2/2008 21:00,106
1/2/2008 22:00,105.5
1/2/2008 23:00,104.75
1/3/2008 0:00,105
1/3/2008 1:00,105
1/3/2008 2:00,104.5
1/3/2008 3:00,104.5
1/3/2008 4:00,104.5
1/3/2008 5:00,104
1/3/2008 6:00,104.25
1/3/2008 7:00,104.5
1/3/2008 8:00,104.25
1/3/2008 9:00,104.75
1/3/2008 10:00,105.5
1/3/2008 11:00,113
1/3/2008 12:00,152.5
1/3/2008 13:00,210.75
1/3/2008 14:00,269.75
1/3/2008 15:00,297
1/3/2008 16:00,297.5
1/3/2008 17:00,325.75
1/3/2008 18:00,392
1/3/2008 19:00,471.75
1/3/2008 20:00,515.75
1/3/2008 21:00,547.75
1/3/2008 22:00,572.5
1/3/2008 23:00,583.75
1/4/2008 0:00,581.25
1/4/2008 1:00,608
1/4/2008 2:00,624
1/4/2008 3:00,661.75
1/4/2008 4:00,742.5
1/4/2008 5:00,876.25
1/4/2008 6:00,1132.5
1/4/2008 7:00,1812.5
1/4/2008 8:00,2882.5
1/4/2008 9:00,3785
1/4/2008 10:00,4880
1/4/2008 11:00,6285
1/4/2008 12:00,7107.5
1/4/2008 13:00,7172.5
1/4/2008 14:00,6757.5
1/4/2008 15:00,5982.5
1/4/2008 16:00,5310
1/4/2008 17:00,4785
1/4/2008 18:00,4367.5
1/4/2008 19:00,4010
1/4/2008 20:00,3702.5
1/4/2008 21:00,3475
1/4/2008 22:00,3235
1/4/2008 23:00,3022.5
1/5/2008 0:00,2820
1/5/2008 1:00,2647.5
1/5/2008 2:00,2470
